,Id,EssaySet,Score1,Score2,EssayText,split,llm
56,17959,7,0,0,"According to this particular story, Rose is depicted as discouraged. The story explains how Aunt Kolab asked Rose if she felt weighed down by what she was doing to help her family and Rose had no response, signifying a sense of discourageness or hopelessness.",train,Score: 2
57,18424,7,2,2,"Rose, while feeling overwhelmed, tried to be optimistic in most situations. She feels like she has to be a role model for Anna. If Rose expresses her true feelings, then she is afraid that Anna will lose faith in their situation as well. In paragraph 11, Rose explains, with a maternal tone, how her and Anna have to appreciate what Paul is doing for them. He is going to school so he can get a job, and ultimately help pay for the sisters' college funds. Rose tries to point out the importance in helping out Paul. Rose would much rather talk about how she wants to give up, how she is tired of working so much, and how school is constantly weighing down on her. Despite these feelings, Rose tries to remain positive for Anna's sake, and holds her tongue.",train,Score: 2
58,17619,7,2,2,"One trait to describe Rose is loyal. There are many things she wants for herself in life. She puts that second though. Her family comes first in everything she does. After school she goes to work, then she goes home to help her aunt cook dinner. When all of this is done she finally has her own time to work on homework. All of this is to help her family. Aunt Kolab asks if she is weighted down by all of this work. She doesn't answer truthfully, so they don't know how hard all of it is on her. She puts her family first in everything she does.",train,Score: 2
59,17205,7,0,0,stressed.she cupped her hands.,train,Score: 1
60,17310,7,0,0,"There mad that their mom has to work so late.''Mamas not home yet is he', 'I hate how late she has to work'",train,Score: 1
63,17739,7,2,2,Rosa was kind to Aunt Kolab when she didn't answer the question.  She didn't want to hurt her aunt.,train,Score: 2
64,18485,7,0,0,Rose is a teenage girl who takes on a lot of responsibility. She is a student and is trying to write a three-thousand word essay on top of trying to fulfill her duty at her job.,train,Score: 1.
67,18189,7,0,0,"Rose tries to hide how she really feels so others wont be upset, for example, when she is talking to Anna she tries to fake laugh so Anna doesnt know that she is missing her father also.",train,Score: 2
70,18347,7,1,1,She cares about what she says to her aunt. In cambodia what they were doing would be quite normal.,train,Score: 1
71,18716,7,1,1,"One of the traits that Rose has based on her conversation with her Aunt Kalob, she's someone that would do anything for anyone just to make thinngs right, and go better. An example of this is that she goes to school, and has a job right after school, leaving her not enough time to do anything she really wants to do for herself. But she wants ans needs to help her family out.",train,Score: 2
72,18355,7,2,2,"Rose seems very caring and compassionate toward others. When she is talking with Anna, she says, 'It's only been four months, he had to go.' She says this to try to comfort her sister who is upset about Papa leaving.",train,Score: 2
73,17960,7,0,0,"Rose feels in urgent need to relate to her dreams, but yet she is very exposed to the fact that the truth might hurt. She is starting to relize she needs to see things throught others eyes not just her own.",train,The answer provided does not
74,18086,7,0,0,"One trait that describes Rose is hopeless. At first in this story, Rose is talking to her sister and seems very down. She is explaining to Anna that maybe one day they will have it good. She doesn't even seem to believe her own words. When Rose is talking to her Aunt Kolab she is also coming off as a hopeless person. Aunt Kolab says something that turns her attitude around.",train,Score: 1.
76,18692,7,2,2,One trait that describes Rose based on her conversation with Aunt Kolab is that she is extremely conscience of other peoples feelings. I think this because when her aunt asked her if she really felt so weighed down Rose hesitated a lot before telling her aunt the truth because she didn't want to hurt her.,train,Score: 2
77,18194,7,2,2,"One trait that I found that could describe Rose is she is a kind person. One example of this is when Rose is talking to her aunt, and her aunt asks her if she feels weighed down by what you are doing to help this family. What Rose did not say should how she was a kind person. In paragraph 19 when she does not answer because she does not want to hurt her aunts feelings shows how Rose is a kind person.",train,Score: 1.
78,17454,7,2,2,"Rose, to me, seems to be a very hard working person. In the story she tells us she has work most days right after school, then help with dinner, and finally do homework. By this point in the story you can already tell she is a busy just trying to please everyone. She doesn't like that she is also so busy but because she is a hard working person, she is making sure she never disapoints her family. She knows they have given so much and continue to work hard so her and her younger sister have an education.",train,Score: 2
80,18139,7,0,0,She is a good sister.Rose slid into the bed with Anna.,train,Score: 2
81,18357,7,0,0,"When she was talking to Anna she seemed to be at a stump in her life and that trait that she doesn't have is confidence. Confidence that she knows she can get through it and make things better for herself. I think she is very busy with her life and doesn't have time for herself, or atleast doesn't make time for herself. It seems like she is missing some things in her life that she needs at that point in time. 'I'm so lonesome for Papa. It seems like he's been gone for years' (Paragraph 9)",train,The answer provides a detailed
83,18338,7,2,2,Rose is a caring girl who wishes to not hurt her aunt's feelings. In the conversation they had at the end of the story Rose's aunt asked her if she felt weighed by helping the family. Rose didn't answer the question because she felt she would hurt her aunts feelings.,train,Score: 2
84,18261,7,0,0,"Rose's family is always busy working. Her mother and father, and even herself after school for a four-hour shift.",train,Score: 2
85,17017,7,0,0,One trait that can describe Rose based on her conversations with Anna  is that she is sincere. Rose listens to Anna as she tells Rose she is sad for her two parents. Rose tries and cheers her up and looks on the positive side of things. That is why Rose is sincere.,train,Score: 2
87,17773,7,1,1,"Rose is caring. She cares about her family, even though it is not her resopnsibility to do so. She also worries about her brother and sister and wants what is best for herself and her family.",train,Score: 1.
88,17288,7,0,0,Anna is a helper. She helps a lot around the house even though she does not like to do it.,train,The answer provided does not
90,18249,7,2,2,She's caring towards her family memebers. When her and Anna talk about money and Paul on his way to college Rose is concerned about him getting in.,train,Score: 1.
91,18504,7,0,0,"The one adjective that can describe Rose is, ungrateful. She seems to complain a lot throughout the story about helping out the family with working. She feels as if its piling on a lot of responsibility on her. When its a lot of responsibility on everyone that lives in her home.",train,Score: 1
92,17752,7,2,2,"One Trait that would describe Rose would be helpful. Rose is help ful because she help around the house and help Paul finish college. In the text it says 'We have our part to do to help Paul finish college. Then he'll get a job, Anna, and he'll pay for you and me to go to college.'",train,Score: 2
93,17328,7,1,1,"Hardworking. Rose is a very hard working individual. She has school, work, housework, and homework. She takes on more responsibilites than she can probably handle but she does it all for the good of the family. You can see Rose's hardworking efforts as she goes above and beyond to win a essay contest. She puts more on her plate than she can eat but she takes every challenge head on. You can tell she is working hard from the stress that is related to us through her character. She is strong for her sister, making everything seem just peachy, but right when she has the chance, she breaks down to her Aunt, let's her know how she really feels.",train,The answer provided is quite
94,18724,7,1,1,One trait that I can see in Rose is that she is the kind of person who worries about everything like when her and Anna were talking about how little time she had to do things because she had to work and that she had missed a lot of shifts and her supervisor was already about to fire her so she wouldn't be able to travel to Sacramento if she won the essay prize.,train,Score: 2
95,17010,7,1,1,"Rose is a woman of many different personalities and traits, but there is one trait in perticular that stands out.  Rose is a determined woman, she is willing to do anything and everything for the better of her family, and is willing to fit everything she can into her day.  an example from the story is, 'The day, like most of her days, had been too long, too demanding'.",train,Score: 1.
96,16972,7,0,0,"Anna glared at Rose.'Money isn't everything.'     'Only if you have everything,' Rose said. She tried a laugh that sounded fake even to her. 'We have our part to do to help Paul finish college. Then he'll get a good job; Anna; and he'll pay for you and me to go to college.'",train,The answer provided does not
97,18237,7,1,1,"Rose is a overcaring person. She care for her family and want to help, however the story shows that she is far too concerned and feels as if she must support the entire family by herself.     It is proven to the reader that this is true when she has the nightmare. She envisions the weight of her brother unbearable and she strugles to survive. Ultimately she is drowned when she attempts to tell her brother to get off of her and  water enters her lungs. This suggests that she feels that she must help her brother get into college and her family get money, and that she feels guilty for her shortcomings.",train,Score: 2
98,17564,7,1,1,One trait that describes Rose is that she is a hard worker.  One detail from the story is that Rose is constantly busy.,train,Score: 1
99,18657,7,0,0,Rose could be described as lazy because she doesn't want to work.,train,Score: 1
100,17902,7,2,2,"I believe that one of the traits Rose displays is optimism. In paragraph 11 ( sentence 5 ) , Rose says,' Then he'll get a good job, Anna, and he'll pay for you and me to go to college.' This shows that she understands the severity of the situation, but chooses to keep her chin up, for her sister and herself.",train,Score: 2
101,18042,7,1,1,helpful greatful and loving money isn't everything,train,The answer provided does not
104,17721,7,0,0,When Rose was talking to her Aunt Kolab. I think that Rose is just being selfish and just doesn't want to help out with anything. She's basically only thinking about herself. 'Maybe I can sew for the ladies or make special treats and sell them'. Her aunts offer made her feel lighter.,train,The answer provided does not
106,18698,7,0,0,A TRAIT THAT ROSE HAS IS THE ABILITY TO SUPPRESS HER PROBLEMS AND TO REASSURE OTHERS.,train,The answer provided does not
107,18623,7,1,1,"She is a hard worker. She always helps her aunt and mom out. She also makes sure her homework is done and wants to do an essay,",train,Score: 1.
108,18437,7,0,0,"guilty 'Rosa didn't answer. if she told the truth, she would hurt her aunt and probably her aunt would tell her mother.",train,Score: 1.
109,18159,7,2,2,"One trait that can identify Rose is hopeful. When Rose talks to Anna she tried to make things seem better than they actually were: 'We have our part to do to help Paul finish college. Then he'll get a good job, Anna, and he'll pay for you and me to go to college'.",train,Score: 2
110,17334,7,2,2,Rose said ' What's wrong? You feel okay?' that is a trait of love.,train,Score: 1
111,17037,7,0,0,"Rose can be described as being reserved about her true feelings. This shows in her conversation with Aunt Kolab, in which Rose's responses consist of nodding as Aunt Kolab is explaining how she understands Rose's point of view.",train,Score: 2
112,17860,7,2,2,One trait of Rose's is that she is very caring. She asked if her sister was ok when Anna walked into the room rubbing her eyes.,train,Score: 2
113,18228,7,2,2,"Rose is a sympathetic person who does not want to hurt her relative's feelings. After Rose's aunt asks Rose if she feels overwhelmed with responsibilities, Rose does not answer because she does not want to hurt her aunt's feelings or her mother's feelings.",train,Score: 2
114,17841,7,0,0,Rose is able to be helped.     'But her aunt's offer had somehow made her feel lighter.',train,Score: 2
116,18662,7,1,1,"Rose is a very responsible person, because she tries to do all that she can to help out her family.  She tries to suppress how she is really feeling inside in order to avoid conflict.",train,Score: 1
117,17458,7,1,1,"One trait that that can decscribe Rose based on her conversation with Anna would be worried. My example from the context would be, 'Anna,' Rose said. 'What's wrong? You feel okay?'",train,Score: 2
118,18576,7,0,0,Anna rolled her eyes and shoved her chair away from the table.,train,The answer provided does not
119,17678,7,1,1,In Roses' conversation with Anna it was clear Rose is very supportive of her family. Rose work's a part time job that takes up most of her time trying to make enough money to help her brother attend high school. This shows that Rose is very responsible and knows that she is doing what she must to help her brother with his future.,train,Score: 1.
120,17840,7,2,2,"The conversation between Anna and Rose makes Rose seem like she is hopeful. Rose is stressed right now from having a job, helping her aunt cook, and going to school but in the end she knows her brother will help out when it is her turn. A detail from the story is when Rose tells Anna that Paul will get a good job and he will pay for the both of them when they go to college. Rose knows family is important and she does not give up no matter what the scenario is. This story is an excellent example of being there for your family when they need you.",train,The answer provided is quite
122,18472,7,1,1,"Rose is an independent person.  She can do things for herself.  She seems to like to appear tough to her family, like she has everything together, and she can get along just fine.  It seems that Rose does not want her family to know of her concerns for the trip she would to take or of her concerns for her brother and the rest of the family.  Rose is also caring deep down, and cares so much the weight of her caring weighs her down.     When Anna spoke to Rose about their brother Paul, Anna seems guarded.  She doesn't want to show her sister how she really feels about the conversation and her family's situation with her father and her brother.  Anna tells Rose that she sounds just like their mother because she talks of how they really needed the money for which their father was working.",train,The answer provides a detailed
123,17921,7,1,1,"Rose is a strong-willed girl, even in her time of confusion and frustration, she maintained a collected attitude for the sake of her sister, Anna. She very easily could have told Anna to leave her alone and to stop talking, because she was having a bad day, but instead she listened with her heart to the worries and fears locked within her younger sister, and did her best to console those uneasy feelings.",train,Score: 2
124,18511,7,0,0,when rose had the bad dream her sister asked what was wrong.,train,Score: 1
125,17353,7,1,1,"Rose is very responsible. She spends her days at school, then going to work, then preparing supper, and then doing homework. She is dutiful because she is trying to prepare for her future at college and helping Paul pay for his.",train,Score: 2
126,18292,7,2,2,"Rose is a hardworking girl. In her conversation with Anna, it is revealed that she had fallen asleep writing an essay to win a prize from a contest in Sacramento. She is busy and working all day to help pay for her brother's college while still doing school work and helping around the house. The tradition of Cambodia to help family in any way possible is shown through the actions of Rose and her hardworking personality.",train,The answer provides a clear
127,18001,7,0,0,Rose is guarded. She doesn't want to let her guard down and this is obvious when her laugh 'sounded fake even to her'.,train,Score: 2
128,17276,7,0,0,"One trait that describes Rose based on her conversations would be Stubborn, I think that Rose is very stubborn and somewhat ungrateful. she is stubborn because she complains about everything, she doesnt take anything for granted and never wants to give up on what she wants. In a way its a good thing that Rose is stubborn because people cant take advantage of her and she wont stop trying something until she wins. But on the other hand she can hurt people and can be annoying. this is the trait I chose that best fits Rose.",train,Score: 1.
129,17444,7,0,0,"Rose was a procrastinator, in the story she put off writing her essay until last minute then she couldn't think of anything to write.",train,Score: 2
130,18331,7,0,0,Rose is a very busy individual. She goes to school and then to work so that she can help pay for her older brother's college expenses.,train,Score: 2
131,17378,7,1,1,That she is worried about her family.,train,Score: 1
132,18400,7,0,0,Muted noises. Aunt Kolab making muted noises in the kitchen.,train,Score: 1
133,18072,7,2,2,"Rose seems to be very responsible. When she was talking with her sister at the table in the kitchen, she tried to make her sister feel better and comfort her. She assured her that her father was doing the right thing by working in Los Angeles.",train,Score: 2
134,17445,7,0,0,"She thinks its all about money.Anna glared at Rose. 'Money isn't everything.'     'Only if you already have verything,' Rose said.",train,The answer provides a clear
135,17198,7,0,0,"She said that she feels like she is the one who is supporting the family and that she feels weighed down because of it. When Rose is talking to Anna, she states how she feels about her father leaving, and that upsets Anna.",train,The answer provides a trait
136,17305,7,0,1,"Rose tries to reassure her sister about their father working in a different place. When Anna says 'It feels like he's been gone for years,' Rose kindly breaks in that he has only been gone for four months, and that they needed the money.",train,Score: 2
137,18033,7,0,0,"Rose is misrible, and she knows it; however, she tries not to show it, and wants to stay strong for the sake of the rest of her family.  Aunt Kolab asks Rose, 'Do you feel so weighted down by what you're doing to help this family?'  Rose didn't want to answer her aunt out of fear of harming her or her mother.  To Rose, other peoples' feelings matter more.",train,The answer provides a clear
138,18145,7,0,0,"Rose is stumped on if she could squeeze in the essay or not, and that if she tries then she'll be even more packed than what she already is with trying to help out her family already. Rose feels like she is doing her best, but that it also might not be enough. She doesn't really want to tell anyone about her problems either because they might make their problems a little bit more worse.     Aunt Kolab said, with a puzzled look, 'Do you feel so weighed down by what you're doing to help this family?' Rose didn't answer. If she told the truth, she would hurt her aunt. And probably her aunt would tell her mother.",train,The answer does not directly
140,18289,7,0,0,"Rose seems to be very stressed. She has been going to school, working, and helping with chores around the house. Along with all of these responsibilities, Rose has to write a flawless three-thousand-word essay and she doesn't know how she is going to be able to complete it on time.  This is what is making her so stressed.",train,Score: 2
142,18608,7,2,2,"One trait Rose has is that she can make the best out of anything. Although she feels so weighed down by working to help out her brother, her Aunt helps to brighten her day, saying that maybe she could help Rose out. Not only did this make Rose feel better but she also used it as inspiration for her essay, and realized that her life really wasn't all that bad.",train,Score: 2
143,18170,7,1,1,One trait that can describe Rose based on her conversations is she is responsible. An example of this is when Rose was talking to her sister Anna. Rose is worried about the family and how they don't have enough money while Anna isn't worried about it because she believes all she needs is family. Rose knows that if they want Paul to graduate college then they are going to need more money. That's Rose's main concern.,train,Score: 2
144,18523,7,0,0,I feel that Rose feels lonely cause her she feel she haven't seen her father in four months and her aunt said'Do you feel so weighted down by what your soing to help this family' Rose didnt answer then her aunt said somthing back to her. Rosie feel her life is dificult but she felt good because her aunt understodd how she felt.,train,Score: 1
145,17547,7,0,0,Rose is clearly open and feels her Aunt is trustworthy. When she has that bad dream she goes straight to her to let it off her chest. She has a good relationship with her Aunt in which case she could express her feelings to help herself.,train,Score: 2
146,17578,7,0,0,"'WE have our part to do to help Paul finish college. Then he'll get a good job, Anna, and he'll pay for you and me to go to college.'This shows that she is an incourager, and also how she is an adult to.",train,Score: 1.
148,18375,7,1,1,"I believe that Rose has traits like a mother would have. When she is talking to her sister, anna, Rose takes care of her. rose makes sure she is feeling ok and puts her to bed. when rose is talking to aunt kolab, it shows that she is under a lot of pressure because she has to be the mother figure for anna since their true mother is always out working.",train,The answer provides a clear
149,17282,7,2,2,"'Anna,' Rose said. 'What's wrong? You feel okay?' One trait of Rose is that she is caring.",train,Score: 2
150,18728,7,1,1,Shes a caring person.,train,Score: 1
152,17796,7,1,1,"Hard working. From school she'd gone straight to the restraunt to work a four-hour shift, then straight home to help Aunt Kolab prepare a quick supper. After that it was time to do homework.",train,Score: 2
153,17572,7,0,0,One trait from the story that describes Rose is her understanding  like where she was okay with her dad beeing gone because he was helping the family.,train,Score: 1
154,18586,7,0,0,"Rose is very tired and overworked.  From school she'd gne straight to the restaurant to work a four-hour shift, then straight home to help Aunt Kolab prepare a quick supper.  After that it was time to do homework.",train,Score: 2
155,17109,7,0,0,"One word that can describe Rose is 'Busy'. She is always on the run after school she has to put in four hours at the restruant, and than right as she gets out of school she has to go home, watch her sister and do her home work. On  top of all of that she has to do a three-thousnad word essay that is for a state competition. If she won that competition she  would not be able to go to Sacramento. Her dad is also in Los Angeles andher brother Paul is at college.",train,Score: 2
156,17906,7,2,2,Rose is very respectful and conconcious about other's feelings. She didn't tell her aunt how she fell because she didn't want to hurt her feelings.,train,Score: 2
157,17484,7,1,0,Persistent.,train,The answer provided is incomplete
158,17822,7,0,0,"That she is real open but hessitent to to say what she really wants to, because she doesn't want to hurt aunt if she tells the truth.",train,Score: 1.
159,18740,7,0,0,"one trait of Rose is that she hides her feelings after she has that dream when she is tlaking to Aunt Kolab.  'Do you feel so weighed down by what you're doing to help this family?'Rose doesn't answer and Aunt Kolab knows the answer is yes, because she goes to 'school, works, comes home to help the family out and then does her homework.'",train,Score: 2
161,17512,7,1,2,"Rose seems very responsible. She is taking care of her sister alot, and looking out for her brother like in paragraph fourteen. 'She felt too young fo so much responsibility.'",train,Score: 2
162,18129,7,1,1,When Rose is talking to Anna she shows that she is supportive of her parents decisions.  An example would be when she supports her father decision to work in Los Angeles.,train,Score: 2
163,17681,7,0,0,SHE IS JUST LIKE HER MOTHER.,train,The answer provided is incomplete
164,17491,7,0,0,"That she puts stuff off till the last minute. My proof of this is 'I fell asleep working on my essay,'",train,Score: 2
166,18187,7,1,1,One trait to describe Rose based on her conversations with Anna and Aunt Kolab would be overwhelmed. She is overwhelmed because the article says 'she'd been struggling to think of a topic. Her brain must have surrendered to exhaustion.',train,Score: 2
168,17253,7,0,0,"From her conversation with Anna, Rose shows that she is willing to do her part to make money even though it's a burden because she knows that, in the end, it will be beneficial for her and her sister.",train,Score: 2
169,17440,7,1,0,"Based on her conversation with Anna, Rose is an understanding person. Anna is still young so she can not fully understand why her family is working so hard. Rose explains to her its for the enitire family; for her brother and themselves. Rose overworks herself with school and work but she knows its for her family so keeps on perservering, ignoring the fact that she feels too much responsibility for her age.",train,Score: 2
170,17624,7,1,1,"One trait i can tell that Anna has is determination. she said, 'Even if i win, I won't get to travel to Sacramento to receive the prize.' She still has to work or her supervisor is going to fire her.",train,The answer has a few
171,18117,7,0,0,One of Rose's traits is that she does not like to admit her feelings to others. In her conversation with Anna she acts as though she does not care about how long her father has been gone or how long her mother works.,train,Score: 2
173,18061,7,0,0,"One tof many traits Rose has is selfishness. Rose knows deep down the troubles and problems she has, most people have also. But Rose makes it seem like she only cares about herself. For example, her sister told her she had a bad dream, and all Rose had to talk about was her essay.",train,Score: 2
174,17558,7,0,0,Rose is a depresd person. When doesn't want to ever talk about what is truly wrong.,train,Score: 1
175,18070,7,0,0,That she is very selfish because she thinks that everything needs to help her via the quotations of her saying that it isnt fair that their dad has been gone for 4 months.,train,Score: 1
176,17280,7,1,1,Rose has many traits. T he one that stuck out to me the most is how hard wroking she is.,train,The answer provided does not
177,17986,7,0,0,"In this short story, Rose is having a conversation with her sister about how she is sad that her Papa has to work somewhere else for money. It states 'She tried a laugh that sounded fake even to her (Rose).' which tells the reader that Rose is trying to hide how tired she is, and the ridiculous amount of responsibility she has for her family. From that aspect of the story, Rose seems like a very brave young girl to work hard for her family.",train,Score: 2
179,17218,7,1,1,Rose in very responceable because in the story she si stell Aunt Kolab that she is exausted from workin and aunt Kolab asks if it is putting too much stress on  her trying to help out this family.,train,Score: 1
181,17770,7,0,0,"Rose optimistic person. When Anna says 'money isn't everything,' Rose responds with 'only if you already ahve everything.'",train,Score: 1.
182,18301,7,1,1,"When Rosa didnt answer afraid that she would hurt her aunt and her aunt would tell her mother. Rosa didnt tell her aunt that she feels weighed down by what all she has to do. She wants to help out her family, but feels like shes doing to much also. rosa is a responsible and loving careing girl. She trys to help her famil out as much as possible and balance school work to. Rosa shows this in her conversation with her aunt. Even though she didnt directly say it but her emotional and tone of voice traits give the reader an idea.",train,The answer provides a clear
183,17855,7,2,2,Rose is caring as you can tell from both of the conversations she had in the story. In neither of the conversations does she want to hurt the other ones feelings so Rose hides her fellings to make sure the other is not hurt.,train,Score: 2
184,18094,7,2,2,"Rose is optimistic. You see this in her conversation with her sister Anna when she says that after they help Paul graduate, he will be able to help them go to college.",train,Score: 2
185,17525,7,2,2,Rose was a caring niece and daughter because she did not want to hurt her Aunt nor her mother by admitting that she felt weighed down by what she was doing for her family. Rose did not reply to her Aunt's question if she was feeling weighed down for this reason.,train,Score: 2
