,Id,EssaySet,Score1,Score2,EssayText,split
116,15665,6,0,0,"The cell membrane only allows certain materials intop the cell, by guarding the wall.",train
117,14463,6,0,0,The cells help get rid of substances.                                            They help the body functions.,train
118,15152,6,0,0,The nucleus,train
119,14683,6,0,0,decomposing,train
120,15092,6,1,1,Osmosis- diffusion of water.Meiosis- cell reproduction.Mitosis- another type of cell reproduction.,train
121,14302,6,0,0,sends messages recieves messages,test
122,15475,6,0,0,Osmosis- movement by water,train
123,15315,6,1,1,Osmosis- Diffusion of water across a selectively permeable membrane. Cellular respiration- Diffusion of oygen in the cell.,train
124,15514,6,0,0,Photosynthesis- where the plant uses the suns energy to get their foodCellular Respiration- where the plant uses the rain and human nature to live,train
125,14358,6,0,0,cell resperation it will give it so much oxegen to what needs the certain amout of oxygencell membrane keeps what cant fit in out and lets what is small enough to come inchannels that keep sertain thins though and would let what isnt made for that spacificaly out of the cell,train
126,14761,6,1,1,"Cells can Osmosis which is the process of which water passes accross a cell membrane. The cell membrane also has small gaps which limit the things that go into the cell, if something to large attempts to go in it will get stuck",train
127,15613,6,0,0,"Tell informaton, mRNA, tRNA,",train
128,14281,6,0,0,"Mitosis, Meiosis,",train
129,14449,6,0,0,Difisuionossmossis,train
130,14738,6,0,0,photosynthesis  to absorb light form the sun. goes through a step and then produces,test
131,14939,6,0,0,osmosis diffusion- crossing over of moving particles.,train
132,15198,6,0,0,RNAcytoplasmcell membrane* They all go through the process of movement of substances in  a cell.,train
133,15076,6,0,0,sperm and egs,train
134,14450,6,0,0,"respiration, growth, division",train
135,14203,6,1,1,1)protein channells only allow certain things through.     2)the cell membrane only aloows in small things.     3)active transport,train
136,14310,6,0,0,"Osmosis, RNA, and Cell reproduction",train
137,15037,6,0,0,The proteins only allow for specific organisms to pass through. The cell membrane is made of material which only nonpolar organisms can pass through.,train
138,14892,6,0,0,"Three processes used by cells to control the movement  of a cell is mitchodria, cyplast, and cell wall.",train
139,15213,6,0,0,"Three processes used to control cell movement are,",test
140,15292,6,1,1,Osmossis is the diffusion of water. Diffussion is moving objects through the membrane.,train
141,15467,6,0,0,The cell membrane selects what can and cannot cross into the cell. There's passive somethings and active somethings in the cell membrane.,test
142,15611,6,0,0,Three substances that are used ny cells to control the movement is the mitochondrion and the sticky substance that everything is placed in; chlorofil. They also use the MRNA and RNA as messengers.,train
143,14872,6,0,0,"mitochondia moves stuff, lysosomes move things, and chlorophyll moves items.",test
144,14938,6,0,0,The cell gets rid of waste.The cell lets some substences inside.The cell makes some substances.,train
145,14552,6,0,0,"REPRODUCING, GROWNING, AND LIVING SPACE",train
146,14583,6,0,0,nucluelus membrane flagellem,train
147,14499,6,1,0,"Osmosis, the movement of water from one place to another. Diffusion, the movement of materials from one place to another.",test
148,15378,6,0,0,Cell division the movement of cells away from each other .Cell wall where the cell movement takes place and moves across the membrane.Cells use ATP to produce energy for the movement of cells.,train
149,14735,6,0,0,Things can get in and out from passive transport.Things can get in and out from active transport.,test
150,15623,6,0,0,cilia- moves cellcytoplasm-keeps the organelles in cellflagellum-moves cell,train
151,13980,6,0,0,Osmosis is used to move molecules across the cell's permiable membrane.  Also the protein carriers to determine what can move through or across the membrane,test
152,14404,6,0,0,The cell membrane determines what can enter the cell and what can not. Lysosomes act ike 'janitors' for the cells and remove waste. The cell membrane is made up of proteins and carbohydrates.,train
153,14577,6,0,0,"Three processes that control the movement across a cell membrane is the sugar, ribose, and a phosphate.",train
154,15155,6,0,0,cross pollinationdistribution of energy the cell wall lets bad things out and traps the good things in,train
155,14114,6,0,0,some process' can be used to move the substances across the cell membrane. one is the funtion of the cell two is the cells cytoplasm and three can be used for the making of the cell that makes the cell come alive and make everything happen,train
156,14845,6,0,0,the cell membrane lets substances in an out of the cell.the mitochondria ships things that are need out.the golgi apperatus also removes unwanted things,train
157,14489,6,0,0,Cells can control which amino acid strains pass through the membrane as directed by the nucleus of that cell.,train
158,14327,6,0,0,The nucleus. The cell wall.The sugars.,train
159,15743,6,0,0,cytoplasm is used to move particles throughout the cell.the flagella is used like a tail on a cell for movement.and the cillia are little hairs used for movement in the cell to move particles across the cell membrane.,train
160,14467,6,0,0,the cell wall keeps unwanted things from coming in and across the cell membrane.,test
161,14517,6,1,0,Osmosis transports by waterFilicated diffusion from lower to higher using proteinDiffusion from high to low,train
162,15483,6,0,0,"miosis, mitosis, and interphase",test
163,14686,6,0,0,Diffusion- A substance small enough to just float across membraneIon channel- Ions travel through a specialized tube like structure in the membrane.Sodium Potassium Pump- Exchanges sodium and potassium to keep a set ammount inside the cell at all times.,train
164,14496,6,0,0,CARRY INFORMATION PROVIDE NUTRIENTS,train
165,14407,6,0,0,"flagella- it is used to move the cell and how fast it is moving, large hairlike .cilia- it is used to move the cell slower, small hairlike.some cells use thier bodies to move and they move slow.",train
166,14856,6,0,0,"One is the mitocondria which controls what goes in and out of the cell. Second, is the vacole which is the stomach of the cell. Last, is the membrane which is the control center of the cell.",test
167,14424,6,0,0,One process is the cell wall because that is the outer covering of the cell so it doesn't let anything out of it.  The second process is the ribosomes because it cannot go past the cell membrane.  The third process is cell membrane itself because it also protects everything and doesn't let anything past the it so it don't touch the cell wall.,train
168,14258,6,0,0,The nucleus holds all the DNA and controls the cells functions. The proteins help control what passes through the cell membrane. The cell membrane also determines what comes in and out of the cell.,train
169,14445,6,0,0,transportation,train
170,14629,6,0,0,the peocess is the reputation,train
171,15630,6,0,0,Cell WallRibosomesFlagellum,train
172,15519,6,0,0,meiosis mitosis photosynthesis,test
173,15065,6,0,0,"The cell wall or membrian lets the substance into the cell then the ribosions tak eover and start to break down the substance, and finale mitocondrean destro and eat the substance and use it as food.",train
174,14563,6,0,0,metosis interphase and prophase,train
175,15327,6,3,3,Facultative diffusion- Particles moving through the protein channels from hig to low concentrationDiffusion- something moving through a cell membrane from high to low concentrationosmosis- water moving through a cell membrane from high concentration to low concentration,train
176,14285,6,3,3,"Three processes used by cells to control the movement of substances across the cell membrane are diffusion, osmosis, and active transport. Diffusion is the process of substances moving across a membrane from a high concentration to a low concentration, or with the concentration gradient. Osmosis is the same process as diffusion but uses water instead of particles. Active transportation is the process of substance moving through a membrane against the concentration gradient, or from low to high concentration.",train
177,15304,6,0,0,They would have a moving processes.,train
178,14836,6,0,0,"There is the cell membrane, the cell wall, and the membrane bound organelles.",test
179,14223,6,0,0,"Nucleus, Nucleolis, Golgi Apparatus",train
180,15652,6,0,0,Nutrients give off energy. Protein give strength. Movement helps it to move.,test
181,15542,6,2,2,"Three processes used by cells to control movement across the cell membrane are active transport, passive transport, and the electron transport chain. Active transport uses energy. Passive transport does not require energy. the electron transport chain moves electron across the cell membrane.",train
182,15084,6,0,0,Tails are used to move cells around.They also use tiny hairs to swim around.,train
183,14859,6,0,0,ribosomes transport substancestRNA read themrRNA tells them where to go,train
184,15369,6,0,0,1. nucleus- is the boss tells the cell what to do2. Vacuole- cleans everything up3. Mitochondria- produces energy4. mitosis- makes new cells5. Meosis- makes new sex cells,test
185,14530,6,0,0,how much water gets in the cell.it let's oxygen in,train
186,14707,6,0,0,they can use trna. they can send out blood cells to slow it down they can also send out white blood cells.,test
187,14507,6,0,0,1. Osmosis2. Diffusion3. Respiration,train
188,15643,6,0,0,"glycolosis, krebs cycle,electron transport chain",train
189,14124,6,0,0,The cell membrain is used to let things in and out of the cell. the nucleus is the brain of the cell and controlls where it goes. The genes inside of the cell can tell where each cell go.,train
190,14113,6,0,0,"When molecules are added to a cell, they grow wider. This process is called hypotonic. When molecules leave the cell, this is called hypertonic. And when molecules pass through a barrier in the cell, this is called osmosis.",train
191,15368,6,0,0,The cell may send signals to the membrane and it will go. The cell may also have helped by giving it DNA. The cell may have communicated with other cells in the organism.,test
192,14596,6,0,0,"Cell growth, cell division, replication.",train
193,14727,6,1,1,It uses osmosis to control the movement of water across the cell membrane,train
194,15501,6,0,0,Active transport:  It is used by the cell membrane to transfer items throughout the cells.  The cell membrane decides if the items can pass through the cell or not.  Distribution: The cell membrane will also use distribution to decide what items go to each part of the cell and how much will be sent to the organelles.  These items could be things like water or other fluids.Seperation: The cell membrane can decide at any time what to seperate in a cell or out of the cell.  It can split up ribosomes or keep fluids from entering the cell.  The cell membrane is the main protector of the cell.,train
195,15634,6,0,0,"Three processes used by cells to control the movement of sunbstances across the cell membrane are mRNA, tRNA, and RNA",train
196,15672,6,0,0,"Meiosis, Mitosis, and Oserosis",train
197,14245,6,0,0,the membrane will split som that certain substances can pass through.,train
198,14742,6,0,0,1. Osmosis- particles move through the cell membrane if there is an unequal concentration of the substance on each side of the cell membrane.2. Proteins- a cell could call some protiens to move particles from outside of the cell inside the cell or vice versa. The proteins would sit on the membrane and shoot particles through.3. phagocytosis- a cell will 'eat' another cell.,train
199,14768,6,0,0,Homostasis,train
200,14006,6,1,1,Three processes used by cells to control the movement of substances across the cell membrane are Diffusion; paricles moving from high to low consentration. Osmises;,train
201,15505,6,0,0,"The cell can use what is called cellular respiration, or it could use where the substances move across the top of the membrane in a gel like substance.",train
202,14893,6,0,0,"Cells can transfer substances, make more or give substances.",train
203,14055,6,0,0,The cell wall blocks and keeps substances from crossing into the membrane,train
204,15683,6,0,0,Cells carry information to other cells. Cells push out unwanted or unnecessary materials from the body.Cells created other cells.,test
205,14741,6,2,2,One process is osmosis which controls how much water comes in and out of the cell. Endocytosis and exocytosis are used to control the what substances enter and leave through the plasma membrane. Facilitated diffusion uses energy to allow things in or out of the cell. Selective permeability is a process that allows certain things in the cell and keeps certain things out.,train
206,14431,6,0,0,"active transport, passive transport, and osmosis",test
207,15480,6,3,3,"Facilitated diffusion- is a way that substances move from one form of concentration to another form of consintration, diffusion- it takes substances from an area of high concentration to low consintraion, osmosis- deals with the water bieng moved",train
208,14786,6,1,1,Osmosis - Allows water to pass through the cell membrane.Diffusion - Allows substances to pass through membranes.RNA - trasfers information through cell membranes.,train
209,14959,6,0,0,The cell membrain takes nutrients from the outside of the cells and takes them to the main cell membrain.,train
210,14334,6,2,2,"One way is the tRNA moves proteins to the cytoplasm.Another way is through Active Transport, Active Transport uses energy to force substances out of the membrane. Passive Transport also moves substances out of the membrane, but it does not require energy.",train
211,14049,6,0,0,"Cell diffusion, cell respiration, and cell exertion.",train
212,15725,6,0,0,"One way the cell controls the movement across the membrane is by knowing where to go. Aniother way is by swimming to where it needs to go, and the last way i moves is by just moving there.",train
213,15727,6,0,0,PHOTOSYNTHESISFLAGELLUM,train
214,15034,6,0,0,"Active Transport is when what substances use to cross the cell, Passive Transport is what the substances use to help control the cell.",train
215,14883,6,0,0,They guide it.,train
216,15397,6,0,0,They slide because its slippery. Its really cramped in there because every thing is so close. Then they are molded into place and they stay there untill there job is complete.,test
217,14718,6,0,0,"Three types of controlled movement of substances across the cell membrane include: passive transport, active transport, and diffusion. Passive transport is when they go with the gradient. Active transport is when they go against the gradient. Diffusion is the moving of water molecules throughout the cell.",train
218,14498,6,0,0,"The cell membrane has three processes to control the movement of substances, one being that it protects the cell, allowing only what it wants to enter and exit.",train
219,14936,6,2,2,"osmosis, which lets water in and out of the cell. diffusion, which lets small proteins in and out.facilated diffusion, which lets larger proteins in and out.",train
220,15293,6,0,1,Active transport-Movement of molecules from an area of hugh concentration to an area of low concentration.Passive transport is two process in one. It used simple diffusion and filacated diffusion.,train
221,15691,6,0,0,"Flagellum,tail, and the body",train
222,15702,6,0,0,Tails,train
223,14072,6,0,0,"diffusion, osmosis, and",train
224,15007,6,0,0,Mitosis-lets things get in and outosmosis-water,train
225,15356,6,0,0,one way is when cells go and they start to divid and split a part to make new cells,test
226,15309,6,0,0,reproduction,train
227,15109,6,0,0,the nuclues sends messages to the cell to tell things what to do and what is happening. the ribosomes are little things that helps build energy and theres also the cytoplasm that runs through the cell membrane.,train
228,14962,6,0,0,The cell controls the movement of substances around the membrane by controling it,train
229,14277,6,0,0,IT WILL HAVE TO GO INTO PHASES REPRODUCE,train
230,14029,6,0,0,The golgi aperatis acts as the bodies UPS man to transport material.Flagela is used by certain organisms to move.,train
231,13995,6,0,0,They can carry nutrients across.,train
232,14259,6,0,0,"The three procedures that a cell uses to move things across the cell membrane are, one it finds out where its going too, two it transports it using flagellum, and three it gets to its destination.",train
233,15731,6,0,0,mRNAtRNArRNA,test
234,14755,6,2,2,1. Active transportation - where they use energy to get across the cell membrane2.facilitated transport- where they need a key and energy to get across the membrane3. passive transport where the need niether energy or a key,train
235,14322,6,0,0,"Three processes used by the cell to control the movement of rsubstance acrosss the cell membrane is the cell wall, the plasma membrane, and the ezyme.",train
236,15671,6,0,0,The cell membrane is a jelly like substance.,train
237,15197,6,0,0,They use transport proteins to move across sugars across the membrane.They use messenger RNA to send codons to the amino acid sequence.They use RNA to help stabilize the cell.,test
238,13996,6,0,0,The cell uses the ER to move things throughout the cell.  It moves protiens around through its winding tubes.The cell uses the mRNA to move information throughout the cell.The cell uses the vacuole to move waste throughout the cell.,test
239,14906,6,0,0,1. The cell wraps it items in fat.,train
240,14925,6,0,0,Cells can use their cell wall to control movement of substances by not letting the substances into the cell.,train
241,15395,6,0,0,cytoplasm,train
242,14888,6,0,0,The cell uses the cell wall and the cell membrane to help it move substances through the cell.  These help regulate what gets into the cell and what doesn't.  Once inside the cell the nucleus will decide what is done with those substances.,test
243,15650,6,0,0,translationreproductionreflection,train
244,14097,6,0,0,they are passed through various organelles.,train
245,14941,6,0,0,cells occuring throughout in the cell memebrane,train
246,14373,6,0,0,"They enter through openings in the cell membrane. There they are moved throughout the cell membrane through tubes. Finally, they reach an opening and are released where they need to go.",train
247,14790,6,0,0,"Air, Water, Oxygen     One process of movement across a cell membrane would be from air getting under the substance in the cell.  The next process of movement would be liquids getting under the substance and carrying it across the cell.  Last it would be by oxygen, this oxygen also gets underneath the substance and carries it across the cell.",test
248,14165,6,0,0,1.nucleus2.michrocondria3.,test
249,14607,6,0,0,the cell has a seletively permeable membrane and uses osmosis and reverse osmosis to move material across the cell membrane.,test
